ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
4008455459417,0.078,5.303,2.167,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025405816,0.01,0.165,5.0,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025400941,0.017,0.496,4.25,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501080954786,0.673,16.184,3.283,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025412784,0.713,14.665,6.362,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
757037517123,0.239,16.684,4.12,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200513,0.385,4.195,6.311,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200261,0.01,0.482,5.0,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200070,0.244,8.981,4.519,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200049,0.566,11.126,7.075,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
4008455394510,0.118,5.872,2.565,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
4008455394619,0.046,2.207,1.438,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058752772,0.244,7.308,5.083,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401917,0.177,10.641,2.95,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025401849,0.164,5.668,2.929,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025401900,0.385,16.073,2.391,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401863,0.38,23.973,2.926,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025405151,8.476,151.67,22.784,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501025401801,5.043,104.556,18.888,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058717115,0.008,0.195,4.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058717276,0.013,1.684,1.444,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501025405212,8.239,219.787,23.54,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058717122,0.003,0.499,1.0,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716088,0.216,36.292,3.326,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75016811006501,0.104,1.198,6.5,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058796585,0.04,4.369,2.222,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75010587965781,0.069,3.761,2.379,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058717023,8.117,167.714,34.107,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716767,0.775,115.717,4.235,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058715531,0.855,12.91,4.97,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716804,0.222,19.203,2.285,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75010587928081,0.074,9.439,2.643,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058757449,0.132,24.888,2.129,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716071,0.051,8.581,1.969,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058757890,1.195,112.995,3.415,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7702626213781,1.163,62.319,3.751,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058715890,0.231,46.859,2.75,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75010587927782,0.058,1.206,2.32,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058753458,4.437,92.285,12.358,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
75010587965782,0.069,3.761,2.379,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058717030,5.358,111.649,23.195,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058716798,0.37,54.907,2.52,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501058717252,0.146,7.748,1.698,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501025401856,0.791,32.303,2.941,TOTAL AUTOS AREA 6,2022-07-03,26-22,26,7,2022
7501681100766,1.201,37.361,9.685,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
